X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE,Staff FT (program and maintenance),Staff PT
-75.16996239,39.92914005,18,A Giuseppe DiSilvestro Playground,228,PPR_REC,C,Y,N,32,Mixed use building with CHOP/Free Library/Public Health/PPR,Programs 9/2021,1,
-75.15121407,39.93379046,21,Solomon Sacks Playground,1947,PPR_REC,C,Y,N,117, ,Programs 9/2021,1,
-75.19293309,39.93774622,23,Donald P Finnegan Recreation Center,452,PPR_REC,C,Y,N,34, ,Programs 9/2021,1,
-75.15084259,39.93784436,25,Weccacoe Square,1969,PPR_REC,C,Y,N,143, ,Programs 9/2021,1,
-75.16793882,39.96571906,32,Roberto Clemente Playground,1831,PPR_REC,C,Y,N,25, ,Programs 9/2021,1,
-75.26015319,39.97312812,36,Samuel Rose Recreation Center,1944,PPR_REC,C,Y,N,115,Located with Cobbs Creek Park,Programs 9/2021,1,
-75.22811203,39.97551667,40,Conestoga Community Playground,1982,PPR_REC,C,Y,N,29, ,Programs 9/2021,1,
-75.10709092,39.98213307,47,Thomas P Stokley Recreation Center,1959,PPR_REC,C,N,N,132,Only PPR building is staff/storage building.,Programs 9/2021,1,
-75.10022755,39.98298027,49,Reverend M Monkiewicz Recreation Center,1913,PPR_REC,C,Y,N,93,Site is split by I-95 ,Programs 9/2021,1,
-75.04857506,40.02131385,69,Frank JG Dorsey Memorial Playground,1848,PPR_REC,C,Y,N,35, ,Programs 9/2021,1,
-75.08013192,40.02423598,71,Joseph C McIlvain Playground,1907,PPR_REC,C,Y,N,88, ,Programs 9/2021,1,
-75.13567434,40.03127737,78,John L Barrett Playground,1814,PPR_REC,C,Y,N,10, ,Programs 9/2021,1,
-75.16026612,40.03237743,79,Wister Playground,1974,PPR_REC,C,Y,N,147, ,Programs 9/2021,1,
-75.04212234,40.03223139,83,Senator William Vincent Mullin Playground,1918,PPR_REC,C,Y,N,96, ,Programs 9/2021,1,
-75.01156663,40.05613179,101,Thomas Holme School Playground,2939,PPR_REC,C,Y,N,60,"School District Property, PPR Programs",Programs 9/2021,1,
